Year Month,ANZSOC Division,Police District,vict_sum,vict_cnt
2019-02-01,Theft and Related Offences,Northland,336,204
2019-02-01,Theft and Related Offences,Southern,431,301
2019-02-01,Theft and Related Offences,Tasman,268,204
2019-02-01,Theft and Related Offences,Waikato,787,466
2019-02-01,Theft and Related Offences,Waitemata,1024,585
2019-02-01,Theft and Related Offences,Wellington,1179,594
2019-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Auckland City,545,73
2019-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Bay Of Plenty,514,104
2019-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Canterbury,862,76
2019-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Central,429,81
2019-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Counties/Manukau,645,91
2019-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Eastern,256,44
2019-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Northland,178,47
2019-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Southern,196,51
2019-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Tasman,133,47
2019-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waikato,486,91
2019-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waitemata,396,72
2019-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Wellington,475,88
2019-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Auckland City,8,8
2019-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Bay Of Plenty,1,1
2019-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Canterbury,8,8
2019-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Central,1,1
2019-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Counties/Manukau,3,3
2019-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Eastern,3,3
2019-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Southern,3,3
2019-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Waikato,2,2
2019-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Waitemata,4,4
2019-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Wellington,3,3
2019-03-01,Acts Intended to Cause Injury,Auckland City,331,282
2019-03-01,Acts Intended to Cause Injury,Bay Of Plenty,511,438
2019-03-01,Acts Intended to Cause Injury,Canterbury,442,312
2019-03-01,Acts Intended to Cause Injury,Central,488,416
2019-03-01,Acts Intended to Cause Injury,Counties/Manukau,593,511
2019-03-01,Acts Intended to Cause Injury,Eastern,352,272
2019-03-01,Acts Intended to Cause Injury,Northland,162,140
2019-03-01,Acts Intended to Cause Injury,Southern,247,198
2019-03-01,Acts Intended to Cause Injury,Tasman,157,136
2019-03-01,Acts Intended to Cause Injury,Waikato,416,343
2019-03-01,Acts Intended to Cause Injury,Waitemata,321,268
2019-03-01,Acts Intended to Cause Injury,Wellington,586,501
2019-03-01,"Robbery, Extortion and Related Offences",Auckland City,44,38
2019-03-01,"Robbery, Extortion and Related Offences",Bay Of Plenty,16,16
2019-03-01,"Robbery, Extortion and Related Offences",Canterbury,27,23
2019-03-01,"Robbery, Extortion and Related Offences",Central,20,20
2019-03-01,"Robbery, Extortion and Related Offences",Counties/Manukau,49,44
2019-03-01,"Robbery, Extortion and Related Offences",Eastern,18,18
2019-03-01,"Robbery, Extortion and Related Offences",Northland,4,4
2019-03-01,"Robbery, Extortion and Related Offences",Southern,11,11
2019-03-01,"Robbery, Extortion and Related Offences",Tasman,2,2
2019-03-01,"Robbery, Extortion and Related Offences",Waikato,19,18
2019-03-01,"Robbery, Extortion and Related Offences",Waitemata,14,14
2019-03-01,"Robbery, Extortion and Related Offences",Wellington,18,18
2019-03-01,Sexual Assault and Related Offences,Auckland City,32,32
2019-03-01,Sexual Assault and Related Offences,Bay Of Plenty,61,56
2019-03-01,Sexual Assault and Related Offences,Canterbury,72,62
2019-03-01,Sexual Assault and Related Offences,Central,60,55
2019-03-01,Sexual Assault and Related Offences,Counties/Manukau,68,63
2019-03-01,Sexual Assault and Related Offences,Eastern,37,34
2019-03-01,Sexual Assault and Related Offences,Northland,27,26
2019-03-01,Sexual Assault and Related Offences,Southern,36,33
2019-03-01,Sexual Assault and Related Offences,Tasman,20,20
2019-03-01,Sexual Assault and Related Offences,Waikato,41,40
2019-03-01,Sexual Assault and Related Offences,Waitemata,46,45
2019-03-01,Sexual Assault and Related Offences,Wellington,53,51
2019-03-01,Theft and Related Offences,Auckland City,1572,743
2019-03-01,Theft and Related Offences,Bay Of Plenty,1002,606
2019-03-01,Theft and Related Offences,Canterbury,1543,624
2019-03-01,Theft and Related Offences,Central,850,485
2019-03-01,Theft and Related Offences,Counties/Manukau,1424,795
2019-03-01,Theft and Related Offences,Eastern,639,362
